Title,Alternative Title,Description,Language,Creator,Publisher,Subject,Keyword,Date Issued,Temporal Coverage,Date Range,Spatial Coverage,Bounding Box,Information,Download,Image,Manifest,Identifier,Slug,Access Rights,Provenance,Code,Is Part Of,Status,Accrual Method,Date Accessioned,Rights,Genre,Type,Format,Geometry Type,Suppressed,Child
,Map of the city & county of New York,"Covers all of Manhattan, Blackwells, Wards, and Randalls islands, the western Bronx, and neighboring parts of New Jersey, Brooklyn, and Queens.  Shows wards, parks, ferry lines, railroads, and selected buildings. Shows landowners east of the Bronx River.  ""Entered according to Act of Congress in the year 1885 ...""  Oriented with north toward the upper right. Dimensions: 53 x 146 centimeters",English,G.W. & C.B. Colton & Co.,"G.W. & C.B. Colton & Co. (New York), 1885",,"New York (n.y.) Maps|Manhattan (New York, n.y.) Maps|Bronx (New York, n.y.) Maps|Maps",1888,,,"New York, New York",,https://umedia.lib.umn.edu/item/p16022coll205:380,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll205/id/380/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll205/id/380,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll205/380/manifest.json,UMN_ALMA:9957674250001701,p16022coll205:380,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,"Map of the department of Dakota : including Minnesota, North Dakota, Montana, Yellowstone National Park, and that portion of South Dakota lying north of the forty-fourth parallel of north latitude.",,English,United States. Army. Corps of Engineers.,,,Northwestern States Maps|Minnesota Maps|North Dakota Maps|Montana Maps|South Dakota Maps|Maps,1891,,,United States,,https://umedia.lib.umn.edu/item/p16022coll230:627,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/627/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/627,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/627/manifest.json,UMN_ALMA:9916613360001701,p16022coll230:627,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,Official railroad map of Wisconsin,"Includes lists of railroads showing miles and gross earnings for year ending June 30, 1911. Also includes statistical tables and list of counties giving area, population (1910), county seat, distance from Madison, and distance from Milwaukee. Dimensions: 104 x 84 centimeters",English,Railroad Commission of Wisconsin.,"Railroad Commission of Wisconsin (Milwaukee, Wis.)",,Railroads Wisconsin Maps|Wisconsin Maps|Maps,1912,,,United States,,https://umedia.lib.umn.edu/item/p16022coll230:620,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/620/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/620,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/620/manifest.json,UMN_ALMA:9917876860001701,p16022coll230:620,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,Plan de la ville de Marseille : 1919,Originally 1 sheet. Dimensions: 75 x 116 centimeters,French,"Curet, Louis; Frison, Augustin",Bourgeat (Marseille),,Marseille (France) Maps|Maps,1919,,,France,,https://umedia.lib.umn.edu/item/p16022coll205:388,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll205/id/388/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll205/id/388,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll205/388/manifest.json,UMN_ALMA:9924314010001701,p16022coll205:388,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,Plan der Altstadt von Nürnberg : Plan of the old town.,"Some buildings shown in pictorial relief.   Indexed.   North oriented to the upper right.   Includes ill. and advertisements.   On verso: advertisements and ancillary maps: Pleasure resorts, parks in and near Nuremberg -- Interesting excursions from Nuremberg. Dimensions: 46 x 57 centimeters",German; English,,Publisher not identified. (Nürnberg?),,Nuremberg (Germany) Maps|Tourist Maps,1920 - 1929?,,,Germany,,https://umedia.lib.umn.edu/item/p16022coll205:419,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll205/id/419/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll205/id/419,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll205/419/manifest.json,UMN_ALMA:9942213160001701,p16022coll205:419,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,Plan des paroisses de Paris : avec la distinction des parties eparses qui de dépendent,Includes index. Dimensions: 116 x 151 centimeters,French,"Junié, J.; Wuhrer, L.",Publisher not identified. (Paris?),,Paris (France) Maps|Maps,1904,,,France,,https://umedia.lib.umn.edu/item/p16022coll205:377,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll205/id/377/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll205/id/377,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll205/377/manifest.json,UMN_ALMA:9924295000001701,p16022coll205:377,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,Plan en kaart van 't kasteel en stad Kolombo,Relief shown pictorially. Dimensions: 64 x 67 centimeters,Dutch,"Gent, William",,,Fortification Sri Lanka Colombo Maps|Colombo (Sri Lanka) Maps|Manuscript Maps,1796,,,Sri Lanka,,https://umedia.lib.umn.edu/item/p16022coll205:422,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll205/id/422/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll205/id/422,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll205/422/manifest.json,UMN_ALMA:9917210710001701,p16022coll205:422,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,Plan itinéraire de Paris public,Indexed.   Includes textual advertisement and inset: Systême complet des fortifications de Paris. Dimensions: 54 x 87 centimeters,French,"Andriveau-Goujon, J.",J. Andriveau-Goujon (Paris),,Streets France Paris Maps|Paris (France) Maps|Maps,1852,,,France,,https://umedia.lib.umn.edu/item/p16022coll205:351,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll205/id/351/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll205/id/351,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll205/351/manifest.json,UMN_ALMA:9960100760001701,p16022coll205:351,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,Principal transportation routes of the world,"""1909""--lower right neat line.  Includes charts for railway mileage and tonnage shipped for years 1908 and 1908-09, and includes distance chart.  ""Vessel routes shown upon the high seas represent the tracks usually followed by the various steamship lines passing between the ports indicated.""  ""Distances are given in nautical miles.""  Originally published on 1 sheet. Dimensions: 55 x 134 centimeters",English,United States. Department of Commerce and Labor. Bureau of Statistics.,"A. Hoen (Baltimore, MD)",,Transportation Maps|Steamboat Lines Maps|Shipping Maps|World Maps|Maps,1909,,,World,,https://umedia.lib.umn.edu/item/p16022coll230:623,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/623/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/623,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/623/manifest.json,UMN_ALMA:9913082500001701,p16022coll230:623,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,"Rand McNally & Co.'s handy map of Chicago and the World's Fair, 1893.","Title at lower right: Rand McNally & Co.'s map of Chicago and the World's Fair.   Cover title: Rand McNally & Co.'s indexed guide map and key to World's Fair buildings, grounds, and exhibits with handy map of Chicago.   Detached from folded cover, 14 cm x 7 cm.   Inset: Rand McNally & Co.'s card map of Chicago.   Includes index to ""Railroads, hotels, theaters, and some streets."" Dimensions: 49 x 32 centimeters",English,Rand McNally and Company.,"Rand, McNally & Co. (Chicago), 1893",,"World's Columbian Exposition (1893 : Chicago, Ill.) Maps|Exhibitions Illinois Chicago Maps|Chicago (Ill.) Maps|Maps",1893,,,"Chicago, Illinois",,https://umedia.lib.umn.edu/item/p16022coll205:369,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll205/id/369/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll205/id/369,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll205/369/manifest.json,UMN_ALMA:9912612110001701,p16022coll205:369,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,Rand McNally & Co.'s new street number guide map of Chicago.,"""The index letters and figures on margin of this map correspond with ... Rand McNally & Co.'s Complete City Railway and Street Number Guide to Chicago.""   Indexed to railroads.   Summary: Shows the new street numbering system as of 1909, the ""L"", railroads, elevated roads, and street car lines. Dimensions: 166 x 67 centimeters",English,Rand McNally and Company.,"Rand, McNally & Co. (Chicago, Ill.), 1910",,Railroads Illinois Chicago Maps|Street Railroads Illinois Chicago Maps|Chicago (Ill.) Maps|Maps,1910,,,"Chicago, Illinois",,https://umedia.lib.umn.edu/item/p16022coll205:363,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll205/id/363/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll205/id/363,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll205/363/manifest.json,UMN_ALMA:9943959880001701,p16022coll205:363,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,Seattle,Date from statistics on verso.   Relief on map of the West shown by hachures.   Text on verso. Dimensions: 45 x 121 centimeters,English,Poole Brothers.,"Poole Bros. Engrs (Chicago, Ill)",,Seattle (Wash.) Maps|West (u.s.) Maps|Maps,1880 - 1889?,,,"Seattle, Washington",,https://umedia.lib.umn.edu/item/p16022coll205:396,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll205/id/396/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll205/id/396,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll205/396/manifest.json,UMN_ALMA:9912637900001701,p16022coll205:396,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,"The city and harbour of Port Louis or Napoleon, in the Isle of France : laid down from the French of Captn. Boisquenay",""" ... surrendered by capitulation to the English 3d. Decr. 1810.""   Depths shown by soundings.   Bar scale in furlongs. Dimensions: 30 x 23 centimeters",English,"Luffman, John, 1756-1846",I. Luffman (London),,Port Louis (Mauritius) Maps|Maps,1800 - 1899?,,,Mauritius,,https://umedia.lib.umn.edu/item/p16022coll205:357,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll205/id/357/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll205/id/357,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll205/357/manifest.json,UMN_ALMA:9941841190001701,p16022coll205:357,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,The Dermott or tin case map of the city of Washington 1797-8.,"Photolithographic reproduction of 1797-8 map.  Publisher from Phillips, P.L. List of maps and views of Washington and District of Columbia, page 23.  Depths shown by soundings.  Shows lot numbers and some street names.  Tracing for photolithography done by H.J. Schneider. -- Cf. Ehrenberg, R.E. Mapping the nation's capital : the Surveyor's Office, 1797-1818. In Quarterly journal of the Library of Congress.--Volume 36, no. 3 (Summer 1979).  Insets: Facsimile within red border, of written statement of Joseph Elgar, March 30, 1854, attesting to the removal of letters signed by George Washington and John Adams -- Printed texts of letters mentioned above, from George Washington, March 2, 1797, and John Adams, July 23, 1798 -- Printed text of approval for publication of the map, May 4 1888, from F.M. Thorn, Superintendent of Coast and Geodetic Survey. Dimensions: 168 x 145 centimeters",English,"Dermott, James Reed",United States Coast and Geodetic Survey (Washington),,Washington (d.c.) Maps|Maps,1888?,,,"Washington, District of Columbia",,https://umedia.lib.umn.edu/item/p16022coll205:393,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll205/id/393/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll205/id/393,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll205/393/manifest.json,UMN_ALMA:9931673830001701,p16022coll205:393,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
