Title,Alternative Title,Description,Language,Creator,Resource Type,Keyword,Date Issued,Temporal Coverage,Date Range,Spatial Coverage,Bounding Box,Information,Download,Image,Manifest,Identifier,ID,Access Rights,Provider,Code,Member Of,Status,Accrual Method,Date Accessioned,Rights,Resource Class,Format,Suppressed,Child Record
Nouvelle carte du Mexique : du Texas et d'une partie des états limitrophies ; dédiée ä l/Academie Impl. des Sciences de l'Institute de France,Nouvelle carte du Mexique : du Texas et d'une partie des états limitrophies ; dédiée ä l/Academie Impl. des Sciences de l'Institute de France,,French,"Vuillemin, A. (Alexandre), 1812-",,,1862,,,Mexico,,https://umedia.lib.umn.edu/item/p16022coll230:2839,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2839/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2839,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2839/manifest.json,UMN_ALMA:9937771230001701,p16022coll230:2839,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Plano de la Ciudad de Mexico,Plano de la Ciudad de Mexico,,Spanish,Distrito Federal (Mexico),,,1929,,,"Mexico City, Distrito Federal",,https://umedia.lib.umn.edu/item/p16022coll205:691,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll205/id/691/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll205/id/691,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll205/691/manifest.json,UMN_ALMA:9945035930001701,p16022coll205:691,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
"Plano del cantón de Tuxpan, estado de Veracruz","Plano del cantón de Tuxpan, estado de Veracruz",,Spanish,Mexico. Comisio?n Técnica del Petro?leo,,Petroleum,1916,,,"Tuxpan, Veracruz",,https://umedia.lib.umn.edu/item/p16022coll205:694,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll205/id/694/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll205/id/694,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll205/694/manifest.json,UMN_ALMA:9923225490001701,p16022coll205:694,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Plano del Rio Putumayo,Plano del Rio Putumayo,,Spanish,"Vallejos Z., Camilo",,,1908,,,Colombia; Peru; Brazil,,https://umedia.lib.umn.edu/item/p16022coll230:2885,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2885/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2885,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2885/manifest.json,UMN_ALMA:9962739580001701,p16022coll230:2885,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
"Plano del Río ""Ucayali"" : desde la boca del Río ""Pachitea"" hasta su confluencia con el Río ""Marañón"" formando el Río ""Amazones"" y parte de este hasta ""Iquitos""","Plano del Río ""Ucayali"" : desde la boca del Río ""Pachitea"" hasta su confluencia con el Río ""Marañón"" formando el Río ""Amazones"" y parte de este hasta ""Iquitos""",,Spanish,"Hoempler, Carlos E. C",,,1904,,,South America,"-75.0,-74.0,-3.0,-9.0",https://umedia.lib.umn.edu/item/p16022coll230:2836,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2836/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2836,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2836/manifest.json,UMN_ALMA:9973950087401701,p16022coll230:2836,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Railroad map of Mexico,Railroad map of Mexico,,English,United States. War Department. General Staff. War College Division,,Railroads|Solar Eclipses|1923,1915,,,Mexico,"-117.0,-86.0,33.0,14.0",https://umedia.lib.umn.edu/item/p16022coll230:2830,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2830/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2830,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2830/manifest.json,UMN_ALMA:9940905410001701,p16022coll230:2830,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
República de Chile,República de Chile,,Spanish,Chile. Oficina de Mensura de Tierras,,,1909?,,,Chile,,https://umedia.lib.umn.edu/item/p16022coll230:2863,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2863/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2863,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2863/manifest.json,UMN_ALMA:9973951846401701,p16022coll230:2863,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
The Mexican situation : new commercial atlas map of Mexico,The Mexican situation : new commercial atlas map of Mexico,,English,Rand McNally and Company,,Revolution (Mexico : 1910 1920),1914,,,Mexico,"-117.0,-86.0,34.0,14.0",https://umedia.lib.umn.edu/item/p16022coll230:2872,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2872/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2872,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2872/manifest.json,UMN_ALMA:9973617475201701,p16022coll230:2872,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
"Topographic map, Lassen Volcanic National Park, California","Topographic map, Lassen Volcanic National Park, California",,English,Geological Survey (U.S.),,,1929,,,California,"-121.5833,-121.25,40.5833,40.3667",https://umedia.lib.umn.edu/item/p16022coll230:2891,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2891/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2891,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2891/manifest.json,UMN_ALMA:9954262990001701,p16022coll230:2891,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
"A map of South America, Central America and the West Indies, on Mercator's projection, having special reference to the principal forest regions and the chief timber trees","A map of South America, Central America and the West Indies, on Mercator's projection, having special reference to the principal forest regions and the chief timber trees",,English,"Davies, J. H",,Forests and Forestry|Forests and Forestry|Forests and Forestry,1920,,,South America; North America,,https://umedia.lib.umn.edu/item/p16022coll230:2756,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2756/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2756,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2756/manifest.json,UMN_ALMA:9943448070001701,p16022coll230:2756,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
A map of the Caracas,A map of the Caracas,,English,"Carey, Mathew, 1760-1839",,,1814,,,Venezuela (Bolivarian Republic),"-73.0,-49.0,13.0,-1.0",https://umedia.lib.umn.edu/item/p16022coll230:2796,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2796/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2796,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2796/manifest.json,UMN_ALMA:9947629000001701,p16022coll230:2796,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Amerique meridionale,Amerique meridionale,,French,"Sanson, Nicolas, 1600-1667",,,1650,,,North America; South America,,https://umedia.lib.umn.edu/item/p16022coll230:2800,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2800/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2800,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2800/manifest.json,UMN_ALMA:9975272408801701,p16022coll230:2800,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
"A new & exact map of the coast, countries and islands within ye limits of ye South Sea Company : from ye River Aranoca to Terra del Fuego and from thence through ye South Sea, to ye north part of California &c.","A new & exact map of the coast, countries and islands within ye limits of ye South Sea Company : from ye River Aranoca to Terra del Fuego and from thence through ye South Sea, to ye north part of California &c.",,English,"Moll, Herman, -1732",,South Sea Company|Maps,1720,,,North America; South America,"-150.0,-8.0,40.0,-60.0",https://umedia.lib.umn.edu/item/p16022coll230:2814,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2814/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2814,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2814/manifest.json,UMN_ALMA:9947620320001701,p16022coll230:2814,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
A New generall chart for the West Indies of E. Wright's projection vul. called Mercators chart,A New generall chart for the West Indies of E. Wright's projection vul. called Mercators chart,,English,,,"Wright, Edward,|Nautical Charts|Nautical Charts",1748?,,,North America; South America,,https://umedia.lib.umn.edu/item/p16022coll230:2773,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2773/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2773,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2773/manifest.json,UMN_ALMA:9914244890001701,p16022coll230:2773,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
"A new map of South America, from the latest authorities","A new map of South America, from the latest authorities",,English,"Carey, Mathew, 1760-1839",,,1814,,,South America,"-89.0953,-33.0953,13.0,-57.0",https://umedia.lib.umn.edu/item/p16022coll230:2743,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2743/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2743,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2743/manifest.json,UMN_ALMA:9947638750001701,p16022coll230:2743,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
A New map of the West Indies for the History of the British Colonies,A New map of the West Indies for the History of the British Colonies,,English,"Edwards, Bryan",,Colonies|British,1793,,,North America; South America,,https://umedia.lib.umn.edu/item/p16022coll230:2768,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2768/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2768,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2768/manifest.json,UMN_ALMA:9975522877401701,p16022coll230:2768,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
"Argentine Republic, Chile, Paraguay, and Uruguay","Argentine Republic, Chile, Paraguay, and Uruguay",,English,Rand McNally and Company,,,1912,,,Argentina; Chile; Paraguay; Uruguay,,https://umedia.lib.umn.edu/item/p16022coll230:2770,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2770/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2770,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2770/manifest.json,UMN_ALMA:9931282910001701,p16022coll230:2770,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
"Battles of Mexico : line of operations of the U.S. Army under the command of Major General Winfield Scott on the 19th and 20th of August, 1847","Battles of Mexico : line of operations of the U.S. Army under the command of Major General Winfield Scott on the 19th and 20th of August, 1847",,English,"Hardcastle, E. L. F. (Edmund Lafayette), 1824-1899",,"American Occupation of Mexico City (1847 1848)|Mexican War (1846 1848)|Mexican War, 1846 1848|Campaigns",1847,,,"Mexico City, Distrito Federal",,https://umedia.lib.umn.edu/item/p16022coll205:686,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll205/id/686/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll205/id/686,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll205/686/manifest.json,UMN_ALMA:9974055503301701,p16022coll205:686,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Brazil,Brazil,,English,,,,1831-03,,,Brazil,,https://umedia.lib.umn.edu/item/p16022coll230:2776,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2776/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2776,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2776/manifest.json,UMN_ALMA:9973951764501701,p16022coll230:2776,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Brazil and Guiana,Brazil and Guiana,,English,Rand McNally and Company,,,1912,,,Brazil; French Guiana,,https://umedia.lib.umn.edu/item/p16022coll230:2738,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2738/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2738,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2738/manifest.json,UMN_ALMA:9931318880001701,p16022coll230:2738,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Caraccas and Guiana,Caraccas and Guiana,,English,,,,1817,,,Venezuela (Bolivarian Republic); French Guiana,"-74.0,-50.0,14.0,-5.0",https://umedia.lib.umn.edu/item/p16022coll230:2798,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2798/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2798,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2798/manifest.json,UMN_ALMA:9947620950001701,p16022coll230:2798,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Central America,Central America,,English,Rand McNally and Company,,,1912,,,North America; South America,,https://umedia.lib.umn.edu/item/p16022coll230:2795,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2795/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2795,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2795/manifest.json,UMN_ALMA:9931321930001701,p16022coll230:2795,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Chile and part of the viceroyalty of La Plata,Chile and part of the viceroyalty of La Plata,,English,"Lewis, Samuel, 1753 or 1754-1822",,,1814,,,Chile,,https://umedia.lib.umn.edu/item/p16022coll230:2763,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2763/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2763,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2763/manifest.json,UMN_ALMA:9973954575801701,p16022coll230:2763,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
